title,style,layout,equipment,policy,price per night in HK dollar,comments
Just Seoul Stn. relax cozy place,整间阁楼,单间1卫2床,无线网络  厨房  洗衣机  ,超赞房东免费取消,446,146
#1 Connected to Mapo Stn./HAN River view/Hongdae,整套公寓,1室1卫1床,无线网络  厨房  洗衣机  免费停车位  ,免费取消,423,176
 Myeong Dong  Portable Wifi #1 ,整套房子,1室1卫2床,无线网络  厨房  洗衣机  ,超赞房东免费取消,548,203
[HongDae] 1min from Hongik Unv. Stn,整套公寓,1室1卫2床,无线网络  厨房  洗衣机  ,超赞房东免费取消,493,179
Mapo basecamp,整套联排别墅,1室1卫1床,无线网络  厨房  洗衣机  ,免费取消,258,59
Lavi's HouseFree Egg30sec from the station,整间阁楼,1室1卫2床,无线网络  厨房  洗衣机  免费停车位  ,超赞房东免费取消,415,129
With private terrace! @ Hongdae,整间阁楼,1室1卫1床,无线网络  厨房  洗衣机  ,超赞房东免费取消,415,214
[Myeong-dong] Modern Duplex,整套公寓,2室1卫2床,无线网络  厨房  洗衣机  ,超赞房东免费取消,352,97
Calm and Friendly Mary House's White Room in seoul,none,none,无线网络  厨房  洗衣机  免费停车位  ,超赞房东免费取消,141,48
LA VIE EN ROSE / Myeong-dong,整套公寓,1室1卫2床,无线网络  厨房  洗衣机  ,超赞房东免费取消,313,146
D/C! Hongdae 2minFree WiFiBest Location,整套公寓,1室1卫3床,无线网络  厨房  洗衣机  ,免费取消,352,135
[Myeong-dong] Mono House (new open discount),整间阁楼,2室1卫2床,无线网络  厨房  洗衣机  ,免费取消,352,44
明洞Basecamp803市景阁楼+Free WiFi,整套公寓,1室1卫1床,无线网络  厨房  洗衣机  ,免费取消,251,118
#4 Connected to Mapo Stn./HAN River view/Hongdae,整套公寓,1室1卫2床,无线网络  厨房  洗衣机  免费停车位  ,免费取消,352,104
[Seoul station] Cosy house,整套公寓,2室1卫2床,无线网络  厨房  洗衣机  ,超赞房东免费取消,352,100
Lovely Apartment w/ Terrace. View to N-Seoul Tower,整套公寓,1室1卫1床,无线网络  厨房  洗衣机  免费停车位  ,超赞房东免费取消,470,107
益大入口站 EXIT 2 30秒钟!精彩的夜景!免费便携式wi-fi,整套房子,1室1卫3床,无线网络  厨房  洗衣机  ,免费取消,423,126
Economy double room(a double bed),独立房间,1室1卫1床,无线网络  厨房  洗衣机  ,免费取消,282,78
